"film_id","year","length","budget","votes","genre","rating"
32469,1989,110,14.1,283,"Comedy",7.9
32095,1942,65,10.8,9,"Drama",5.1
10453,2005,104,10.2,65,"Action",5.6
25062,1937,96,9.6,157,"Action",5.3
26338,1999,22,13.5,10,"Comedy",7.7
15590,1950,7,11.8,19,"Animation",7.8
55605,1962,18,14,6,"Documentary",8.4
33702,1990,91,13.2,173,"Action",4.1
17552,2003,96,9.1,14,"Action",4.9
31862,2001,119,13.5,44,"Drama",4.5
25185,1998,92,5.8,66,"Drama",4.8
31554,2004,29,17.5,9,"Comedy",7.6
32542,1996,98,7,4005,"Comedy",3.9
51462,1933,20,11,6,"Short",8.3
47574,1939,10,12.6,8,"Drama",8.2
10634,1999,90,15.9,125,"Action",8
56355,1941,81,8.6,73,"Comedy",4.1
57240,1968,8,15.1,9,"Animation",7.9
49952,1942,91,10.4,12,"Action",3.2
39568,1971,91,13.2,51,"Action",3.6
18664,1989,100,12.9,26,"Action",4.4
7309,1938,10,9.5,15,"Comedy",8
16023,2000,90,15.1,472,"Documentary",7.4
52491,1944,93,14.1,17,"Comedy",7.8
34708,1982,NA,14.1,114,"Animation",8.5
40360,1986,120,10.7,35210,"Action",4.6
41309,1938,64,11.5,16,"Drama",5
649,1999,178,15.1,73,"Drama",2.8
52334,1960,NA,5.9,1451,"Drama",4.8
27165,2002,112,11.7,5,"Drama",4.7
1693,1993,127,14.5,5786,"Action",2.4
35704,1976,90,12.2,14,"Action",4.4
31684,1959,101,17,69,"Action",7.8
38735,1929,74,7.7,5,"Action",4.1
15488,1982,78,12.2,35,"Documentary",7.3
6548,1938,80,10.7,242,"Comedy",4.8
48700,1939,80,13.7,110,"Action",1.6
20194,1988,96,7.7,6,"Drama",3.2
42238,1953,88,14.9,23,"Action",4.3
36004,1941,56,12.2,13,"Action",2.5
58059,1984,90,14.1,6,"Action",4.1
12322,1990,95,18.1,7,"Comedy",8
13549,1965,78,10,7,"Comedy",8.2
10792,1984,77,8,8,"Action",4
24954,1934,111,10.3,346,"Drama",4.4
24559,2002,20,19.6,6,"Short",7.6
48250,1976,98,12.9,5,"Drama",2.7
20487,1935,89,13.5,54,"Drama",3.5
41428,1919,7,10.2,13,"Comedy",8.1
20295,1997,98,13,29,"Comedy",4.3
28255,2001,113,10.7,131,"Action",4.1
25208,2004,112,12.7,39,"Drama",5.4
33578,2004,90,8.8,114,"Comedy",2.8
12415,2003,90,8.3,6,"Action",4.9
10943,1917,24,12.4,67,"Comedy",7.9
8587,1927,87,14.4,18,"Action",4.2
7344,2000,2,16.3,20,"Action",8.3
42598,1975,92,11.4,5,"Drama",4.7
25500,2004,94,12.8,7,"Drama",3.9
46727,1972,94,15.9,159,"Drama",3.9
41604,1980,90,12.8,34,"Action",3.3
45649,2002,90,10.9,57,"Comedy",8.8
16813,1959,149,17.6,469,"Drama",3.5
9548,1943,77,11.7,6,"Comedy",7.9
30246,2001,87,12.1,24,"Action",5.3
23051,2000,89,21.2,14,"Action",8
12567,1969,96,14.6,17,"Drama",2.2
58006,1967,84,13.5,6,"Drama",3.5
12839,1945,102,10.5,959,"Action",2.3
46049,1981,NA,14.9,6,"Drama",3.9
46943,1982,120,14.4,17,"Drama",3.1
39383,2000,75,11,18,"Documentary",7.9
20794,1979,95,12.6,253,"Action",3.7
39641,1962,112,14.5,133,"Comedy",8.5
20237,1963,98,13.4,78,"Action",4.1
53556,1972,87,18.7,29,"Drama",5
5176,1996,87,13.7,429,"Comedy",7.6
30777,1930,80,11.1,17,"Romance",3.1
42262,1944,98,15.6,12,"Action",2.5
35534,2003,86,8.4,30,"Drama",4.9
28341,1937,83,12.2,9,"Drama",3.7
10381,1994,90,11.1,1230,"Comedy",8.3
43897,1999,90,10.9,357,"Comedy",3.6
55411,1984,111,18.8,27,"Drama",5.1
23426,1984,103,16.6,91,"Comedy",7.7
5983,1957,82,16.4,21,"Action",8.6
50412,1992,65,13.6,7,"Action",4.1
27306,1985,132,7.2,89,"Action",3.9
10031,2000,96,16.1,1919,"Comedy",8.4
56692,1972,107,13.7,63,"Drama",4.3
1966,1985,105,14.8,130,"Drama",4.6
22220,2002,80,15.2,14,"Documentary",8.1
9560,1969,96,11.4,100,"Drama",4.7
37794,1954,108,11.7,12803,"Drama",3.5
19818,2004,1,12.3,17,"Comedy",7.7
38018,1968,104,12.5,32,"Comedy",8.5
22854,1942,95,10,7,"Action",4.1
22058,2005,103,10.4,42,"Drama",3.8
4396,2002,102,14.8,4943,"Comedy",8.1
44151,1998,58,14.2,5,"Documentary",8
26078,1952,78,12.6,268,"Comedy",7.5
12098,1999,75,10.2,18,"Comedy",8.7
15291,1996,95,14.8,80,"Action",4.7
16090,1958,99,12.9,65,"Drama",3.7
56702,1937,77,12.7,6,"Comedy",7.8
23467,2000,NA,10.7,26,"Documentary",7.9
49186,1934,73,5.7,10,"Comedy",3.7
8683,1963,97,9.7,66,"Drama",4.2
37496,1936,59,13.1,12,"Action",1.8
10905,1955,183,7.7,74,"Action",3.3
54468,1942,92,10.5,14,"Drama",3.4
22951,2005,101,14.6,3784,"Drama",2.4
58626,1988,96,10.4,12,"Action",2.8
30212,2000,90,15.3,9485,"Comedy",3.5
23290,1995,106,9.6,7,"Drama",4.6
35643,1934,90,14.3,27,"Drama",2.4
35162,1972,89,12.4,85,"Comedy",7.5
33471,1995,91,11,69,"Drama",4.5
31779,1955,94,17.6,14,"Comedy",7.9
11392,1956,101,8.2,2419,"Comedy",3.2
27829,1933,61,9.4,5,"Action",4
52533,2002,127,10.3,21,"Drama",4.8
46688,1967,99,8.1,124,"Action",4.3
1301,2002,115,10.8,7,"Action",3.6
3382,1987,104,11,76,"Comedy",8.9
17947,1944,7,12.5,14,"Animation",6.9
54752,1971,NA,7.6,6,"Drama",4.4
21289,1997,87,12.7,132,"Drama",3.7
37261,1996,10,8.8,12,"Short",8
4296,1982,NA,13.6,15,"Action",4.7
19309,1975,136,6,541,"Comedy",3.3
45268,1985,89,15.2,60,"Action",3
55226,1977,75,9,9,"Action",4.2
44099,1993,114,15.6,827,"Drama",4.1
27139,1966,90,9.6,5,"Drama",4
54113,1983,90,14.5,17,"Drama",2.9
1348,1978,104,9.7,230,"Drama",3.9
21310,1999,116,10.8,128,"Comedy",7.5
50757,1992,91,7.9,35,"Drama",4.2
18374,1942,102,11.2,449,"Action",4.8
41687,1973,95,13.3,11,"Drama",4
27964,1995,15,16,31,"Short",8.2
51252,1983,132,12.1,6050,"Comedy",3.2
7838,1942,8,16.4,53,"Animation",7.3
44950,1998,8,9.4,74,"Comedy",8.1
16631,1970,53,12,20,"Action",4.8
36003,1997,108,13.5,131,"Drama",4.2
46545,1957,87,9.8,27,"Action",5.2
40529,1987,97,9.3,15,"Comedy",4.1
26055,1977,105,12.4,2109,"Comedy",8.6
4651,1936,7,10.6,29,"Animation",8.1
25246,1976,106,7.9,25,"Drama",4.6
13558,1939,7,13.2,22,"Animation",7.9
1632,1998,124,9.6,604,"Drama",3.1
44870,2000,88,10.6,12,"Action",4.1
39786,2002,17,18.8,7,"Short",7.2
41296,2003,108,6.6,106,"Drama",5.4
29318,1996,95,9.8,420,"Drama",3.7
4054,1990,99,13.1,1322,"Drama",4.5
34747,1946,63,11,27,"Comedy",8.1
18386,1934,68,13.1,147,"Action",3.5
7203,1940,68,15.1,72,"Comedy",7.8
11983,1940,63,7.1,22,"Comedy",3.7
47416,1995,105,15,196,"Action",3.4
35383,1901,2,9.7,13,"Short",8
15997,1990,110,13.5,5,"Action",3.1
35472,2004,150,12.4,23,"Drama",4.5
46620,1951,107,7.5,665,"Drama",3.9
11700,1971,82,13.7,5,"Drama",3.9
18597,2003,96,8.4,904,"Action",3
34817,1942,67,12.1,20,"Comedy",8.1
29347,1945,72,13,26,"Comedy",8.1
21125,1976,8,12.6,19,"Comedy",8.6
57076,1931,77,12.6,10,"Action",4.1
23823,1972,85,17.4,34,"Action",4.2
49587,1995,74,13.8,69,"Action",3.7
40553,2002,185,9,25,"Action",5.5
32472,1944,116,13,33,"Comedy",7.8
13125,1999,105,14.6,17666,"Action",7.4
41548,1953,92,13.1,14,"Drama",4.8
57165,1910,17,12.4,16,"Comedy",7.4
34403,1965,90,8.8,5,"Action",3.4
57597,1950,101,14.3,139,"Drama",3
43287,2002,83,12.3,922,"Action",4.4
14956,1996,90,16.4,865,"Comedy",4.8
55121,1994,10,8.9,5,"Documentary",8.4
16675,1974,100,8.1,17,"Action",3.3
27845,2003,80,14.6,18,"Documentary",7.8
8716,1984,152,14.4,252,"Drama",3.3
24411,2003,15,11.6,5,"Short",8.5
47127,2004,39,9.2,20,"Documentary",7.3
36102,2001,15,12.2,5,"Short",8.1
3575,1983,102,21.8,30,"Drama",8.6
25014,1974,82,14.7,47,"Action",2.6
4894,1937,72,17.2,15,"Comedy",5.1
48224,2003,103,6.8,153,"Documentary",4.6
834,1967,105,10.5,340,"Drama",4.5
47512,1992,86,15.6,10,"Action",6.6
51003,1965,6,7.5,23,"Animation",7.6
46653,1997,84,10.1,150,"Action",5.1
29505,1937,103,11.9,11,"Action",5.1
20021,1949,NA,9.8,10,"Comedy",3.5
5548,2001,12,13.4,8,"Short",8.3
43768,1984,110,6.9,109,"Romance",5.5
23334,1977,98,10.9,6,"Action",4.1
52157,1988,93,13.9,122,"Drama",3.4
49246,1956,94,12.2,12,"Comedy",8.1
36752,1974,105,10.8,6,"Drama",4.3
25897,1952,88,11.1,8,"Drama",4.5
29287,1962,227,14,31230,"Drama",4.3
27433,2004,11,14,10,"Short",8.5
36113,1964,34,10.1,6,"Short",7.6
32234,1896,2,4.8,12,"Short",7.8
577,1998,13,9.8,7,"Drama",7.7
48664,1999,110,4,307,"Drama",4.7
52114,1999,10,9.1,8,"Short",8.2
23648,1996,91,11.3,4644,"Action",8
52772,1983,96,12.1,20,"Action",4.4
46831,1989,90,15.5,37,"Action",3.2
28044,1964,113,13.3,45,"Comedy",8.1
40210,2003,143,11.3,60812,"Action",7.4
49600,1975,92,12.8,302,"Comedy",8.5
53845,1973,100,13.6,30,"Drama",2.4
11390,1907,6,5.8,8,"Comedy",8.7
13257,1963,75,11.8,641,"Action",4.2
2224,1990,120,10.5,42,"Comedy",7.4
43556,1944,10,8.2,10,"Documentary",8.1
15043,2001,57,14.7,6,"Documentary",8
17322,1951,7,12.5,35,"Animation",8.1
40364,2000,16,4.3,91,"Drama",5.9
43088,2003,65,13.8,35,"Action",5.3
20234,1995,93,13.8,48,"Action",4
15522,1996,88,5.9,210,"Comedy",2.9
35766,2003,40,11.9,22,"Documentary",7.5
37028,1972,91,9.5,30,"Action",3.8
55150,1977,98,14.9,10,"Comedy",4.8
29570,1985,69,12.8,9,"Action",3.9
21459,1997,170,12.8,126,"Drama",3.9
31806,1992,202,13.9,6873,"Drama",4.6
31642,1967,100,17,36,"Comedy",7.4
28069,1945,103,2.8,68,"Drama",2.4
50301,1980,92,12.2,21,"Drama",4.9
19467,1986,90,12.6,12,"Comedy",8.4
23754,1971,45,13.1,10,"Comedy",8.4
30642,1980,84,4.7,85,"Comedy",3.7
54064,2002,119,13.3,254,"Drama",4.6
38732,1938,58,6.7,10,"Action",4.6
54088,1937,144,13,45,"Drama",3.7
38146,1924,3,10,20,"Animation",4.4
14874,2003,85,14.3,537,"Action",3.4
57694,1969,105,8.8,299,"Action",4.8
6543,1995,83,12.8,2306,"Comedy",8.6
53636,1968,92,11.7,26,"Comedy",7.4
21361,1968,120,13.7,11,"Documentary",8.3
45291,1985,84,7.6,38,"Comedy",4.1
57695,1999,80,12.7,185,"Action",7
14590,1975,107,8.2,22,"Drama",2.7
20318,1997,60,11.7,20,"Documentary",7.9
41810,1938,89,11.6,887,"Comedy",5
57192,1986,86,14.8,64,"Comedy",8.5
32619,1913,20,14,16,"Action",4.4
40921,1997,177,7.8,8773,"Action",5.1
37071,2001,95,9.6,2829,"Comedy",4.1
42275,1956,121,14.6,515,"Comedy",3.7
7346,1960,97,5.3,47,"Comedy",4.6
56790,1996,88,14.4,32,"Action",4
21413,1983,90,10.6,6,"Action",4.3
17420,2002,88,12.5,87,"Action",4
17352,1983,100,10.7,5,"Action",4.4
10870,1991,99,15.8,349,"Action",7.9
50367,1960,126,14.8,1416,"Action",4.1
7422,1977,176,15.5,5527,"Action",5.1
13857,2004,11,10.2,13,"Comedy",8.2
4552,2002,300,10.6,13,"Drama",3.1
45859,1986,100,13.2,21,"Comedy",7.8
4810,1948,72,9.2,9,"Drama",5.6
7356,1983,97,6.8,1424,"Action",5.2
8662,1949,96,14,12,"Comedy",8.2
46397,1954,70,15.9,26,"Drama",5.2
28149,1981,90,9.3,11,"Drama",6.2
52063,1998,87,8.9,1572,"Action",3.4
46287,1967,83,13.9,74,"Action",6
56456,1990,92,15.1,6,"Comedy",7.7
29567,1978,79,11.7,41,"Documentary",8.5
42176,1967,NA,11.8,64,"Comedy",5.3
52451,1986,96,13,18,"Action",6.3
58708,2001,87,9.5,18,"Action",2.5
58045,1947,190,14.4,31,"Action",4.4
46246,1953,80,13.1,6,"Action",2.6
27727,1993,81,6.9,28,"Action",4.5
18569,1951,99,8.2,54,"Drama",2.9
31213,1977,80,16.3,26,"Drama",3.9
6082,1939,71,16.1,58,"Drama",1.5
56795,1946,85,11,48,"Drama",2.9
51813,1974,95,13.1,30,"Action",3.6
22300,1947,10,10.2,10,"Comedy",8.2
58605,1994,87,13.5,9,"Drama",5.2
38025,1993,99,13.7,492,"Action",4.9
14810,1988,90,13.7,132,"Comedy",7.9
8770,1994,100,11.1,1151,"Comedy",4
47949,1982,97,3.6,189,"Comedy",3.2
50852,1936,NA,15.9,290,"Action",7.4
36231,1997,95,15,175,"Comedy",5
39395,1971,88,9.5,13,"Action",2.7
45870,1967,90,12.4,7,"Comedy",8
54386,1992,131,14.1,30868,"Drama",3.7
9044,1901,1,14.9,9,"Comedy",7.8
1427,1999,87,15.1,27,"Comedy",1.9
6009,1935,76,13.3,28,"Drama",4.6
51969,1974,89,9.2,93,"Action",3.8
45603,1975,97,8.7,28,"Action",3.2
21539,1994,115,14.9,23,"Romance",4.3
38824,1973,38,10.8,46,"Animation",4.7
56260,1985,80,14.6,11,"Action",4.3
38103,1959,100,16.6,1682,"Comedy",7.6
22492,1997,100,9.7,507,"Action",3.2
31388,1970,99,10.7,47,"Action",3.5
50404,1968,70,16.2,8,"Documentary",7.8
42577,1932,65,16.1,10,"Action",8.3
17862,1951,57,8.6,9,"Drama",4
49138,1987,88,11.4,37,"Action",4.4
18831,1969,95,10.9,5,"Comedy",8.3
38695,1994,95,15,10,"Drama",4.7
13361,2004,105,2.6,10,"Action",3.9
49642,1946,9,9.9,9,"Comedy",8.1
3068,1932,73,13.4,7,"Drama",4.9
24430,1985,96,12.4,6,"Action",3.4
41008,1990,NA,11.9,13,"Drama",3.6
45094,1996,25,13.1,14,"Documentary",8
49492,1953,7,16.2,26,"Animation",8.4
42008,1985,91,9.8,1353,"Drama",5.4
12593,1946,167,11.7,12,"Action",2.4
23592,1991,102,11.4,17,"Drama",3.9
46179,1996,118,14.7,3368,"Comedy",7.9
36437,1988,7,14.3,22,"Animation",8
34332,1983,122,9.8,19,"Documentary",7.8
28903,2001,121,17.2,5421,"Drama",2.5
51031,1968,61,12.1,76,"Drama",3.7
55216,1958,80,12.1,5,"Comedy",8
38231,1992,95,5,1942,"Drama",2.2
16021,2000,7,8.7,7,"Animation",4.5
57690,1986,93,15.2,1291,"Action",4
29135,1960,91,9.5,237,"Drama",4.4
17259,2001,60,8.5,5,"Drama",4.8
54144,1987,NA,9.6,178,"Drama",3.6
44524,2000,79,10.3,62,"Drama",2.8
50489,1959,99,8.2,6,"Action",3.8
36439,1962,60,13.8,6,"Action",3.7
6745,2001,71,12.9,12,"Documentary",7.9
46778,1958,80,7,13,"Action",4.6
1081,1960,107,11,216,"Drama",4.6
13350,1979,89,12.6,73,"Comedy",8.7
41753,2002,96,4.8,513,"Drama",3.6
39129,1982,93,17.5,224,"Comedy",8.6
21880,1983,52,6.1,5,"Documentary",4.1
29584,1938,7,11.4,10,"Animation",7.6
40565,2003,7,7.5,5,"Animation",4.4
30521,1980,95,12.5,26,"Action",4.6
48510,1968,81,10.8,385,"Comedy",7.8
11646,1996,118,11.3,359,"Action",2.6
8416,1978,107,12.4,128,"Action",3.5
33172,1971,164,12.4,31,"Drama",2
21640,2004,96,13.7,71,"Action",4.2
27404,1929,8,10.3,40,"Animation",8.1
16603,2001,101,12.5,14232,"Comedy",8.7
48881,1937,111,6.7,687,"Drama",5.7
22152,1985,89,5.7,51,"Comedy",4.2
30668,1922,70,7.7,39,"Drama",5.1
16643,1996,134,7.9,7653,"Action",2.6
24832,1997,14,5.1,10,"Comedy",7.7
15550,2004,110,14.2,17,"Documentary",8.7
55733,1928,6,14.1,35,"Animation",7.4
3327,2001,91,16.5,16,"Drama",3.1
32575,1985,127,13,3859,"Drama",3.3
19378,1983,109,10.4,147,"Action",4.9
49698,1938,95,10.6,26,"Action",3.6
51149,1985,88,16.2,16,"Action",7.8
19480,1946,85,13.1,23,"Drama",3.9
19762,1959,NA,15.2,6,"Action",4
15172,1999,77,11.8,1790,"Comedy",7.8
51264,2003,81,9.4,7,"Action",4
34856,1937,90,14.5,5,"Comedy",8.1
35136,2004,119,9.7,215,"Drama",3.9
5854,1963,91,11.7,17,"Drama",3.3
42641,1934,7,10.7,12,"Animation",4.8
58575,2001,100,15.8,14,"Comedy",8.3
55785,1971,NA,10,8,"Action",5.2
46495,1979,90,12,17,"Action",4.2
9772,1990,84,11.3,2327,"Comedy",7.6
20116,1975,84,5.9,931,"Action",4.7
275,2003,84,13.5,62,"Romance",3.3
51351,2001,7,12,5,"Short",8.1
55201,1999,121,13.4,46,"Comedy",3.6
43574,2003,15,13.8,6,"Action",7.8
41969,1971,87,16.4,90,"Drama",3.9
24014,1953,90,9,1386,"Action",3.8
34908,1995,90,9.7,17,"Drama",3.4
8153,1973,110,8.8,11,"Drama",3
12478,1940,76,10.4,122,"Drama",2.4
22960,1997,82,12.6,131,"Comedy",7.6
43939,1997,57,14.1,8,"Documentary",8.1
10618,1982,117,14,24,"Drama",4.4
14180,1954,9,10.7,5,"Comedy",8.2
4404,1970,20,11.7,10,"Documentary",8.2
18685,1953,7,13.3,47,"Animation",7.7
32760,1962,91,14.9,65,"Comedy",7.8
48670,1989,102,14.5,15,"Action",3.5
4714,1965,60,13.9,62,"Action",4.8
49519,1970,76,15,26,"Action",8.2
50321,1995,12,11.4,6,"Short",7.5
42203,1993,85,11.6,11,"Action",3.8
532,1950,7,11,90,"Animation",8.6
37014,1930,67,11.8,9,"Drama",3.9
3132,1971,79,10.4,22,"Animation",4.7
41895,2000,100,9.9,16,"Drama",4.6
48074,1936,7,5.9,11,"Animation",3.9
15202,1969,1,11.8,6,"Documentary",8.3
43357,1949,70,14.7,21,"Action",5.3
51398,1936,98,9.5,33,"Action",3.6
13224,1997,91,14,8,"Action",4
9750,2002,117,10.9,429,"Drama",4.7
18400,2004,110,12,9,"Drama",3.4
13216,1974,108,9.6,13,"Action",4.5
12243,2002,70,10.6,7,"Documentary",8.1
55059,2001,97,13,146,"Action",5.5
54227,1995,92,9.2,38,"Action",4
15194,1966,83,11.9,5,"Action",3.6
57540,1977,96,10.2,29,"Comedy",8.1
57234,1936,54,11.5,77,"Action",2.6
56934,1997,94,17.9,38,"Comedy",7.6
3424,1998,106,12.1,164,"Drama",5.2
41847,1992,100,8.4,858,"Comedy",4.2
4046,1965,71,8.7,78,"Drama",5
55686,1942,8,19.3,42,"Animation",8.1
8391,1957,102,12.1,79,"Drama",5.5
45292,2004,18,12.4,11,"Short",7.8
58275,1949,78,13.8,21,"Action",5.5
37943,1964,83,14.2,60,"Drama",4.2
13905,1979,94,11,13,"Comedy",8.2
6246,1987,102,17.5,26,"Drama",5.9
40050,1999,88,13.6,34,"Comedy",8.4
42588,2000,94,6.6,25,"Documentary",4.8
25936,1962,83,12.4,111,"Comedy",7.6
36919,1978,95,7.9,35,"Drama",5.4
40878,1999,100,10,10,"Action",2.6
39670,2003,10,15.8,7,"Drama",7.7
19073,1973,102,15.8,336,"Drama",3.5
31320,1950,79,14.3,115,"Comedy",8.1
11894,1950,7,12.3,36,"Animation",8.3
17558,1998,7,13.6,21,"Animation",8.1
3226,1992,100,10.2,649,"Comedy",2.4
13523,1932,61,13,14,"Action",4.3
49208,2004,43,10,205,"Documentary",8.2
40172,1976,94,11.7,15,"Action",4
15422,1931,77,4.8,14,"Action",5.1
22586,2000,12,17.6,7,"Documentary",8.2
48431,1999,73,12.3,54,"Documentary",7.9
5553,1950,7,12.7,91,"Animation",7.8
40149,1979,7,14.8,5,"Animation",8
35238,1987,90,10.3,198,"Comedy",7.2
18250,2004,15,14.6,10,"Short",7.2
27062,2002,90,10,6,"Comedy",4.5
11089,1979,100,14.2,49,"Action",4.4
7195,1998,97,13.8,25,"Comedy",4.6
30299,1916,25,11.6,8,"Comedy",8.3
40490,1971,95,15.1,215,"Action",2.1
13450,2000,97,10.8,44,"Drama",4
33120,1982,85,14.5,23,"Drama",3.8
44655,1999,94,7,9,"Action",2.8
58257,2000,87,18.6,56,"Drama",3.8
49301,1944,140,10.2,136,"Action",4.1
10426,1996,84,12.5,10,"Action",3.6
13585,1971,108,14.9,592,"Drama",3.7
46729,1990,100,16.8,315,"Comedy",4.7
29819,1999,108,10,4857,"Comedy",3.3
1951,2000,91,10.8,189,"Action",2.6
51027,1989,90,11.4,537,"Comedy",7.7
56589,1943,94,12.5,12,"Comedy",2.3
31307,1970,112,7.9,14829,"Comedy",3.5
13132,2004,19,11.1,16,"Romance",8
38922,1999,96,14.2,352,"Comedy",3.9
56047,1985,86,19,9,"Action",8.3
19745,1964,NA,11.8,6,"Animation",3.1
53656,1941,81,13.1,14,"Comedy",7.4
45752,1980,NA,16.9,12,"Action",8.2
19956,1920,28,15,40,"Comedy",8
45517,2004,96,16,13260,"Drama",2.9
4812,2001,19,13,16,"Drama",8
6737,1967,88,9.1,6,"Action",3
41605,1961,88,14.7,7,"Comedy",7.6
56383,1989,105,13.4,7,"Drama",6.6
3529,1976,87,13,24,"Drama",2.9
30385,1990,52,11.3,36,"Drama",1.2
8444,1937,17,13,5,"Documentary",8.4
41477,2005,117,14.4,86,"Drama",4.2
